49,36,1
5,99,1
-41,21,1
12,84,1
62,55,1
72,3,1
62,57,1
80,-89,-1
52,44,1
-34,-35,-1
22,-31,-1
16,-28,-1
27,-79,-1
83,-90,-1
69,20,1
-58,-46,-1
11,-10,-1
-7,97,1
-33,-84,-1
-3,96,1
80,19,1
-4,2,1
-42,-74,-1
-68,44,1
31,42,1
-73,-84,-1
-48,-38,-1
-87,10,-1
73,79,1
-17,83,1
-75,-45,-1
-38,74,1
-56,-8,-1
-37,-37,-1
-52,-23,-1
12,1,1
47,55,1
-57,-1,-1
43,71,1
-2,-15,-1
30,62,1
-23,-61,-1
60,25,1
-42,-82,-1
-36,-49,-1
13,58,1
-16,48,1
-22,-11,-1
-41,-52,-1
52,-75,-1
56,-6,1
-54,-3,-1
18,49,1
-94,69,1
-62,91,1
-59,0,-1
93,25,1
5,5,1
83,14,1
38,84,1
-20,-64,-1
21,-47,-1
-55,64,1
-48,55,1
30,-8,1
-91,97,1
1,88,1
85,63,1
-96,-78,-1
-18,-26,-1
15,-86,-1
25,-58,-1
-80,79,1
13,-28,-1
-93,-85,-1
48,78,1
61,68,1
-45,-34,-1
58,95,1
53,16,1
-13,88,1
82,76,1
50,-89,-1
-71,-38,-1
68,17,1
-25,-48,-1
5,-2,1
-73,38,1
64,7,1
-94,-29,-1
-25,41,1
86,54,1
4,11,1
70,-23,1
-65,-34,-1
60,-8,1
-88,37,-1
32,-62,-1
25,42,1
-23,34,1
-60,-80,-1
-7,-75,-1
-3,-68,-1
-77,-94,-1
-58,22,-1
92,19,1
87,44,1
59,-57,-1
59,62,1
-67,-51,-1
-62,32,1
-45,86,1
-55,66,1
-77,36,-1
-95,-1,-1
-60,4,-1
-6,39,1
53,93,1
28,39,1
98,-64,-1
18,-32,-1
91,16,1
4,-97,-1
78,58,1
-65,-51,-1
9,-76,-1
-12,-18,-1
-76,-16,-1
84,35,1
24,13,1
24,24,1
-68,-22,-1
-31,17,1
77,-56,-1
-96,-27,-1
-53,-95,-1
20,-80,-1
-72,-60,-1
36,-73,-1
62,96,1
-5,26,1
75,26,1
-37,32,1
-38,-50,-1
-18,34,1
-86,-13,-1
74,94,1
74,38,1
54,-69,-1
93,38,1
-25,-84,-1
-36,-33,-1
-71,-15,-1
-71,50,1
53,-42,-1
-65,-65,-1
57,86,1
13,63,1
95,-66,-1
71,30,1
-52,-12,-1
73,-43,-1
-97,-82,-1
96,54,1
-99,80,1
36,25,1
-45,-16,-1
54,61,1
-19,-99,-1
-68,88,1
81,-30,1
26,29,1
0,-50,-1
9,-80,-1
-23,-32,-1
59,55,1
-53,46,1
93,6,1
-86,-68,-1
-69,75,1
12,6,1
-52,31,1
-90,22,-1
-69,-93,-1
69,36,1
79,78,1
-97,66,1
75,20,1
-42,67,1
-40,-35,-1
-49,-55,-1
-60,33,1
0,-2,-1
69,99,1
66,-92,-1
-83,-70,-1
-51,74,1
-26,65,1
66,11,1
-93,2,-1
-54,-6,-1
21,-77,-1
54,83,1
23,-71,-1
-84,-76,-1
62,46,1
-78,9,-1
-69,-44,-1
-12,55,1
2,80,1
77,-54,-1
1,28,1
-72,84,1
-32,16,1
3,58,1
-93,31,-1
14,2,1
-89,7,-1
30,-11,1
20,-45,-1
-78,31,-1
25,97,1
-53,36,1
59,-6,1
41,68,1
0,73,1
19,78,1
-61,-34,-1
23,65,1
89,55,1
57,4,1
60,54,1
-61,-72,-1
9,0,1
83,78,1
23,81,1
75,-61,-1
60,-73,-1
40,31,1
-42,99,1
-46,-84,-1
79,87,1
-78,70,1
84,-88,-1
-36,79,1
5,36,1
-78,19,-1
-98,-84,-1
37,60,1
84,45,1
18,-16,-1
-7,74,1
-63,20,-1
87,29,1
-25,-68,-1
65,9,1
-30,-94,-1
-42,9,-1
-31,15,1
6,23,1
-64,19,-1
87,91,1
45,8,1
-26,40,1
84,-70,-1
11,-25,-1
0,63,1
97,77,1
-82,86,1
-68,-21,-1
76,4,1
25,38,1
-6,-20,-1
63,10,1
-98,-58,-1
75,37,1
-19,8,-1
13,36,1
33,4,1
22,35,1
-87,89,1
-32,96,1
-54,10,-1
-88,17,-1
88,-24,1
-77,30,-1
28,51,1
90,83,1
-15,-90,-1
-69,-59,-1
17,4,1
67,68,1
-3,2,1
-31,-32,-1
47,-27,-1
4,87,1
7,-70,-1
40,4,1
-66,48,1
16,2,1
-23,-41,-1
-99,-77,-1
71,2,1
-83,22,-1
-42,-99,-1
-4,-68,-1
-29,93,1
-31,17,1
-60,-12,-1
42,61,1
5,9,1
77,-34,1
-86,67,1
22,-30,-1
-7,-68,-1
-1,-77,-1
-36,-63,-1
8,70,1
0,-80,-1
-32,-84,-1
-16,-13,-1
6,-3,1
-28,28,1
-32,-37,-1
18,-19,-1
33,-23,-1
-19,-57,-1
10,19,1
30,-45,-1
12,-53,-1
-86,-55,-1
50,46,1
89,44,1
96,-24,1
-31,-3,-1
-87,1,-1
-7,33,1
14,31,1
-14,-39,-1
60,-34,-1
-98,31,-1
45,54,1
5,-68,-1
-24,-18,-1
13,73,1
15,-30,-1
39,-95,-1
-27,26,1
48,45,1
-78,17,-1
82,-42,1
29,-95,-1
-33,-61,-1
-22,10,1
-63,-27,-1
50,68,1
-87,19,-1
86,-85,-1
63,66,1
-47,-36,-1
-23,-64,-1
-58,-43,-1
71,-40,-1
-29,95,1
-7,-63,-1
-54,58,1
9,59,1
-1,26,1
-51,31,1
-40,-8,-1
-98,78,1
-53,95,1
29,57,1
73,59,1
-99,-31,-1
-75,59,1
87,85,1
9,-95,-1
66,-11,1
56,67,1
-70,-56,-1
-61,41,1
-31,88,1
-89,-47,-1
32,70,1
-69,-86,-1
-83,22,-1
-36,49,1
89,85,1
28,73,1
13,-8,-1
85,-55,-1
-28,98,1
-57,92,1
36,3,1
47,-61,-1
-77,-74,-1
-25,-9,-1
-63,-37,-1
57,47,1
-26,46,1
-30,-5,-1
-27,80,1
-76,-81,-1
-16,80,1
79,20,1
59,18,1
32,74,1
-90,-18,-1
-30,80,1
-47,-54,-1
-30,84,1
92,-28,1
36,10,1
49,-67,-1
-57,59,1
-20,-16,-1
57,-63,-1
16,61,1
52,68,1
60,45,1
61,48,1
48,64,1
-29,87,1
37,-26,-1
28,-90,-1
-60,87,1
52,63,1
15,1,1
11,89,1
-5,-20,-1
72,-84,-1
-83,-65,-1
84,-78,-1
-46,-96,-1
-14,48,1
-74,17,-1
-85,-16,-1
-51,76,1
-91,1,-1
-48,-58,-1
-39,-96,-1
78,34,1
-67,14,-1
-75,-30,-1
92,95,1
18,14,1
-39,-74,-1
-93,-16,-1
46,13,1
43,75,1
-37,-11,-1
37,63,1
86,-65,-1
84,-66,-1
63,17,1
99,-12,1
-85,65,1
9,-79,-1
54,57,1
-92,57,1
-18,-23,-1
-76,81,1
-73,-20,-1
-72,47,1
44,-45,-1
-99,-19,-1
29,-1,1
-84,83,1
-68,90,1
-63,42,1
58,-84,-1
-11,43,1
-54,80,1
-74,14,-1
67,95,1
-89,79,1
84,-36,1
68,-44,-1
96,-49,1
12,72,1
86,-26,1
99,-50,1
38,-28,-1
-67,7,-1
-92,-75,-1
-59,-55,-1
-76,60,1
-19,71,1
15,-83,-1
-22,-87,-1
26,9,1
-64,82,1
-86,-31,-1
-32,-58,-1
2,91,1
53,38,1
87,-24,1
-31,47,1
49,-19,1
-83,-4,-1
-18,-13,-1
89,-88,-1
93,-6,1
94,65,1
-9,19,1
71,-54,-1
-6,64,1
38,-57,-1
87,-15,1
92,77,1
-16,36,1
-3,-44,-1
68,-51,-1
-7,67,1
-72,80,1
-45,42,1
25,-87,-1
-66,-54,-1
9,41,1
5,51,1
45,-81,-1
72,-27,1
37,-93,-1
-65,-31,-1
-67,86,1
68,-68,-1
-16,1,-1
44,62,1
-45,-35,-1
12,-62,-1
-56,-92,-1
-10,-30,-1
16,16,1
-23,-18,-1
-80,-90,-1
43,86,1
59,25,1
-1,-12,-1
32,-39,-1
-5,98,1
79,28,1
81,2,1
-45,-17,-1
57,34,1
-19,-27,-1
26,-85,-1
-24,79,1
17,34,1
41,93,1
81,84,1
78,85,1
-3,57,1
18,29,1
25,-88,-1
58,36,1
42,-94,-1
66,48,1
70,-76,-1
53,-41,-1
-50,-27,-1
84,4,1
-12,-12,-1
-93,-6,-1
94,-78,-1
89,22,1
64,50,1
-53,39,1
-91,84,1
16,-94,-1
85,0,1
3,-78,-1
-36,-9,-1
-62,63,1
-70,54,1
44,89,1
93,13,1
-87,-25,-1
5,75,1
26,30,1
-68,-50,-1
58,-38,-1
-98,7,-1
-10,19,1
78,-82,-1
50,-94,-1
66,38,1
-38,-12,-1
95,-13,1
42,73,1
-86,89,1
95,-85,-1
-83,-78,-1
16,76,1
-52,30,1
32,-49,-1
94,66,1
-48,-49,-1
-78,14,-1
